,0,1,2,3,4,5
0,0,1.1,0.0,0.0008446204431270261,0.004752401575135234,0.0
1,0,1.2000000000000002,0.0,0.002769918049981346,0.015595991215018756,0.0
2,0,1.3000000000000003,0.0,0.0051754917421164524,0.029165304486015176,0.0
3,0,1.4000000000000004,0.0,0.007740960339173494,0.04366205032275006,0.0
4,0,1.5000000000000004,0.0,0.010295861186199639,0.05812537915373328,0.0
5,1,1.1,0.002376200787567617,0.003166683252734065,0.01424591206504,0.0
6,1,1.2000000000000002,0.007797995607509378,0.010380274996057919,0.04666635617406678,0.0
7,1,1.3000000000000003,0.014582652243007588,0.019383952853277077,0.08707060596516447,0.0
8,1,1.4000000000000004,0.02183102516137503,0.028974617943286055,0.13003296364905692,0.0
9,1,1.5000000000000004,0.02906268957686664,0.038514022176328405,0.17268685761031732,0.0
10,2,1.1,0.002376200787567617,0.002460661792110543,0.01662775918279047,0.0
11,2,1.2000000000000002,0.007797995607509378,0.008072151969527945,0.0545251605170709,0.0
12,2,1.3000000000000003,0.014582652243007588,0.01508827169836925,0.10186591195461259,0.0
13,2,1.4000000000000004,0.02183102516137503,0.022576662227167234,0.15234058247002857,0.0
14,2,1.5000000000000004,0.02906268957686664,0.030040311352794644,0.20259418711262522,0.0
15,3,1.1,0.002376200787567617,0.005814286501883965,0.0403615488243666,0.0
16,3,1.2000000000000002,0.007797995607509378,0.019056046972017654,0.13220154710094323,0.0
17,3,1.3000000000000003,0.014582652243007588,0.035578017197618876,0.24663226670811844,0.0
18,3,1.4000000000000004,0.02183102516137503,0.05317006578720717,0.3682782703139702,0.0
19,3,1.5000000000000004,0.02906268957686664,0.0706608870258242,0.48902243076204255,0.0
20,4,1.1,0.002376200787567617,0.007383112449298945,0.04038412072828379,0.0
21,4,1.2000000000000002,0.007797995607509378,0.02415856868949424,0.13244430785666994,0.0
22,4,1.3000000000000003,0.014582652243007588,0.04501454411885415,0.24747978063824794,0.0
23,4,1.4000000000000004,0.02183102516137503,0.067131969317419,0.37017424042418223,0.0
24,4,1.5000000000000004,0.02906268957686664,0.08903327118861422,0.49237644295585037,0.0
25,5,1.1,0.044699923060269375,0.053258780905578895,0.15620735233244798,0.002376200787567617
26,5,1.2000000000000002,0.14343022784145965,0.17048013490473662,0.49149964090263654,0.007797995607509378
27,5,1.3000000000000003,0.2609134938070554,0.3094404152351007,0.8741026282088652,0.014582652243007588
28,5,1.4000000000000004,0.3826385069540499,0.4494140543011847,1.2437343077885354,0.02183102516137503
29,5,1.5000000000000004,0.5049348343853913,0.5813031132090815,1.5781948721971504,0.02906268957686664
30,6,1.1,0.039958814145499844,0.07580304770075004,0.3986838678875021,0.0
31,6,1.2000000000000002,0.12795585409743038,0.2430549851709548,1.2542644016886828,0.0
32,6,1.3000000000000003,0.2321734968139213,0.44209806948922176,2.2295987411564724,0.0
33,6,1.4000000000000004,0.34226081674912023,0.6435047640778069,3.1699822675647344,0.0
34,6,1.5000000000000004,0.45259991058656435,0.8341828842729042,4.018535304464292,0.0
